point_no,lat_lng,label,adj,is_marker
1,"12.753188685696,80.1974830040588",NSS_Organic_Farming,148,1
2,"12.7535868949358,80.1980778834855",Faculty_Research_Center,149,1
3,"12.7533422199542,80.196573189499",Vishwas_Food_Court,"146,145",1
4,"12.7531936227267,80.1955034520565",Ladies_Hostel,143,1
5,"12.7529426713335,80.1951122326639",canteen 4way junction,"143,136,8,7,6",0
6,"12.7531837748968,80.1946832177381",Main_Canteen,"7,5",1
7,"12.7531837748968,80.1946832177381",Paradise_Food_Court,"6,5",1
8,"12.7526580132779,80.1942988586464",canteen sports complex junction,"13,12,11,10,9,5",0
9,"12.7525311057936,80.1942691231908",Busbay_Entrance_2,"39,38,8",1
10,"12.7527202905442,80.1939691470269",Sports_Complex_Old_Block,"14,13,8",1
11,"12.7531976514434,80.1942375467396",Sports_Complex_New_Block,"12,8",1
12,"12.7531976514434,80.1942375467396",Men's_Gym,"11,8",1
13,"12.7524402623441,80.1938670082656",outdoor ground entrance,"33,14,10,8",0
14,"12.7525955443078,80.1935648081904",Volleyball_Court,"16,15,13,10",1
15,"12.7529798693914,80.1935338432321",Tennis_Court,14,1
16,"12.7525751022616,80.1932496552835",Basketball_Court,"17,14",1
17,"12.7526036999605,80.1927624759498",Cricket_Practice_Pitch,"18,16",1
18,"12.7525817017313,80.191909912088",football stadium entrance,"20,19,17",0
19,"12.7525971004931,80.1910596036912",Football_Ground,18,1
20,"12.7521568433211,80.1916705582403",football to cricket path 1,"21,18",0
21,"12.7517251947644,80.1916866514939",football to cricket path 2,"22,20",0
22,"12.7516728736773,80.1911153409908",football to cricket path 3,"27,21",0
23,"12.752135914921,80.1897822830885",Cricket_Ground,"25,24",1
24,"12.7518664616436,80.1888515565882",Cricket_Practice_Nets,"25,23",1
25,"12.7513641790305,80.1892994854765",cricket stadium entrance ,"26,24,23",0
26,"12.7513294180026,80.1889353933824",cricket stadium road 1,"27,25",0
27,"12.7512038471789,80.1911133470374",cricket stadium road 2,"28,26,22",0
28,"12.7509840283676,80.1921141004895",cricket stadium road 3,"29,27",0
29,"12.7510703583905,80.1927256441266",humanities block entrance,"32,30,28",0
30,"12.7513267322245,80.1926398134407",Humanities_Block,29,1
31,"12.750782591533,80.1929402208665",Generator_Building,"52,32",1
32,"12.7510860547718,80.1930126405052",cricket stadium road 4,"52,35,29",0
33,"12.7516537393057,80.1930287337588",snu block entrance,"35,34,13",0
34,"12.7520461472306,80.192690775425",SNU_Block,33,1
35,"12.7514810796291,80.1930931067814",snu-admin path ,"41,32,33",0
36,"12.7514821406742,80.1941060613948",mech entrance 2,"43,41,40",0
37,"12.7514895399995,80.1945460744801",mech entrance 1,"55,43,40",0
38,"12.7519279496474,80.194517625359",mech entrance 4,"135,40,39,9",0
39,"12.751922400163,80.1941022681793",mech entrance 3,"40,38,9",0
40,"12.7518465571977,80.194307101857",Mechanical_Department,"39,38,37,36",1
41,"12.7514451440406,80.1940264038403",workshop back road,"42,36,35",0
